,Year,Population,LifeExp,gdpPercap
count,24.0,24.0,24.0,24.0
mean,1979.5,5348623.125,52.81483333333335,2895.0230031666674
std,17.63149356173184,2613274.8739127126,9.74813695764106,1674.3669666579658
min,1952.0,2042865.0,39.193000000000005,1071.353818
25%,1965.75,3373981.75,45.832750000000004,1301.77047275
50%,1979.5,4674345.5,51.103500000000004,2412.690109
75%,1993.25,6500182.75,57.073750000000004,4380.00446975
max,2007.0,11746035.0,71.878,5728.353514
